player_name,team,position,caps,club,group
Matt Freese,United States,GK,15,,Group D
Chris Brady,United States,GK,1,,Group D
Alejandro Zendejas,United States,FWD,14,,Group D
Eloy Room,Curaçao,GK,71,,Group E
Shurandy Sambo,Curaçao,DEF,8,,Group E
Juriën Gaari,Curaçao,DEF,60,,Group E
Roshon van Eijma,Curaçao,DEF,28,,Group E
Sherel Floranus,Curaçao,DEF,28,,Group E
Godfried Roemeratoe,Curaçao,MID,28,,Group E
Juninho Bacuna,Curaçao,MID,49,,Group E
Livano Comenencia,Curaçao,MID,20,,Group E
Jürgen Locadia,Curaçao,FWD,13,,Group E
Leandro Bacuna,Curaçao,MID,72,,Group E
Jeremy Antonisse,Curaçao,FWD,27,,Group E
Sontje Hansen,Curaçao,FWD,6,,Group E
Tyrese Noslin,Curaçao,FWD,7,,Group E
Kenji Gorré,Curaçao,FWD,38,,Group E
Ar'jany Martha,Curaçao,MID,9,,Group E
Jearl Margaritha,Curaçao,FWD,22,,Group E
Brandley Kuwas,Curaçao,FWD,35,,Group E
Armando Obispo,Curaçao,DEF,6,,Group E
Gervane Kastaneer,Curaçao,FWD,29,,Group E
Joshua Brenet,Curaçao,DEF,18,,Group E
Tahith Chong,Curaçao,MID,6,,Group E
Kevin Felida,Curaçao,MID,19,,Group E
Riechedly Bazoer,Curaçao,DEF,5,,Group E
Deveron Fonville,Curaçao,DEF,2,,Group E
Tyrick Bodak,Curaçao,GK,4,,Group E
Trevor Doornbusch,Curaçao,GK,8,,Group E
Hernán Galíndez,Ecuador,GK,35,,Group E
Félix Torres,Ecuador,DEF,49,,Group E
Piero Hincapié,Ecuador,DEF,52,,Group E
Joel Ordóñez,Ecuador,DEF,17,,Group E
Jordy Alcívar,Ecuador,MID,11,,Group E
Willian Pacho,Ecuador,DEF,34,,Group E
Pervis Estupiñán,Ecuador,DEF,54,,Group E
Anthony Valencia,Ecuador,MID,3,,Group E
John Yeboah,Ecuador,FWD,23,,Group E
Kendry Páez,Ecuador,MID,26,,Group E
Kevin Rodríguez,Ecuador,FWD,31,,Group E
Moisés Ramírez,Ecuador,GK,7,,Group E
Enner Valencia,Ecuador,FWD,105,,Group E
Alan Minda,Ecuador,MID,20,,Group E
Pedro Vite,Ecuador,MID,17,,Group E
Jordy Caicedo,Ecuador,FWD,20,,Group E
Ángelo Preciado,Ecuador,DEF,55,,Group E
Denil Castillo,Ecuador,MID,5,,Group E
Gonzalo Plata,Ecuador,FWD,50,,Group E
Nilson Angulo,Ecuador,FWD,14,,Group E
Alan Franco,Ecuador,MID,58,,Group E
Gonzalo Valle,Ecuador,GK,4,,Group E
Moisés Caicedo,Ecuador,MID,61,,Group E
Jeremy Arévalo,Ecuador,FWD,4,,Group E
Jackson Porozo,Ecuador,DEF,10,,Group E
Yaimar Medina,Ecuador,DEF,6,,Group E
Manuel Neuer,Germany,GK,124,,Group E
Antonio Rüdiger,Germany,DEF,82,,Group E
Waldemar Anton,Germany,DEF,13,,Group E
Jonathan Tah,Germany,DEF,47,,Group E
Aleksandar Pavlović,Germany,MID,11,,Group E
Joshua Kimmich,Germany,DEF,110,,Group E
Kai Havertz,Germany,FWD,58,,Group E
Leon Goretzka,Germany,MID,70,,Group E
Jamie Leweling,Germany,MID,5,,Group E
Jamal Musiala,Germany,MID,42,,Group E
Nick Woltemade,Germany,FWD,11,,Group E
Oliver Baumann,Germany,GK,13,,Group E
Pascal Groß,Germany,MID,18,,Group E
Maximilian Beier,Germany,FWD,9,,Group E
Nico Schlotterbeck,Germany,DEF,27,,Group E
Angelo Stiller,Germany,MID,8,,Group E
Florian Wirtz,Germany,MID,41,,Group E
Nathaniel Brown,Germany,DEF,5,,Group E
Leroy Sané,Germany,MID,76,,Group E
Nadiem Amiri,Germany,MID,11,,Group E
Alexander Nübel,Germany,GK,3,,Group E
David Raum,Germany,DEF,37,,Group E
Felix Nmecha,Germany,MID,8,,Group E
Malick Thiaw,Germany,DEF,5,,Group E
Assan Ouédraogo,Germany,MID,1,,Group E
Deniz Undav,Germany,FWD,9,,Group E
Yahia Fofana,Ivory Coast,GK,35,,Group E
Ousmane Diomande,Ivory Coast,DEF,15,,Group E
Ghislain Konan,Ivory Coast,DEF,54,,Group E
Jean Michaël Seri,Ivory Coast,MID,65,,Group E
Wilfried Singo,Ivory Coast,DEF,34,,Group E
Seko Fofana,Ivory Coast,MID,32,,Group E
Odilon Kossounou,Ivory Coast,DEF,35,,Group E
Franck Kessié,Ivory Coast,MID,103,,Group E
Ange-Yoan Bonny,Ivory Coast,FWD,1,,Group E
Simon Adingra,Ivory Coast,FWD,29,,Group E
Yan Diomande,Ivory Coast,FWD,10,,Group E
Elye Wahi,Ivory Coast,FWD,2,,Group E
Christopher Opéri,Ivory Coast,DEF,12,,Group E
Oumar Diakité,Ivory Coast,FWD,29,,Group E
Amad Diallo,Ivory Coast,FWD,19,,Group E
Mohamed Koné,Ivory Coast,GK,0,,Group E
Guéla Doué,Ivory Coast,DEF,20,,Group E
Ibrahim Sangaré,Ivory Coast,MID,58,,Group E
Nicolas Pépé,Ivory Coast,FWD,55,,Group E
Emmanuel Agbadou,Ivory Coast,DEF,20,,Group E
Evan Ndicka,Ivory Coast,DEF,28,,Group E
Evann Guessand,Ivory Coast,FWD,21,,Group E
Alban Lafont,Ivory Coast,GK,4,,Group E
Bazoumana Touré,Ivory Coast,FWD,6,,Group E
Parfait Guiagon,Ivory Coast,MID,5,,Group E
Christ Inao Oulaï,Ivory Coast,MID,9,,Group E
Zion Suzuki,Japan,GK,24,,Group F
Yukinari Sugawara,Japan,DEF,21,,Group F
Shōgo Taniguchi,Japan,DEF,38,,Group F
Kō Itakura,Japan,DEF,40,,Group F
Yūto Nagatomo,Japan,DEF,145,,Group F
Shūto Machino,Japan,FWD,14,,Group F
Ao Tanaka,Japan,MID,38,,Group F
Takefusa Kubo,Japan,MID,49,,Group F
Keisuke Gotō,Japan,FWD,4,,Group F
Ritsu Dōan,Japan,MID,65,,Group F
Daizen Maeda,Japan,MID,27,,Group F
Keisuke Ōsako,Japan,GK,11,,Group F
Keito Nakamura,Japan,MID,25,,Group F
Junya Itō,Japan,MID,69,,Group F
Daichi Kamada,Japan,MID,49,,Group F
Tsuyoshi Watanabe,Japan,DEF,11,,Group F
Yuito Suzuki,Japan,MID,6,,Group F
Ayase Ueda,Japan,FWD,39,,Group F
Kōki Ogawa,Japan,FWD,15,,Group F
Ayumu Seko,Japan,DEF,14,,Group F
Hiroki Itō,Japan,DEF,24,,Group F
Takehiro Tomiyasu,Japan,DEF,43,,Group F
Tomoki Hayakawa,Japan,GK,4,,Group F
Kaishū Sano,Japan,MID,13,,Group F
Junnosuke Suzuki,Japan,DEF,6,,Group F
Kento Shiogai,Japan,FWD,2,,Group F
